"bin","empirical","binomial_expected"
1,2,0.002288818359375
2,1,0.04119873046875
3,8,0.350189208984375
4,10,1.86767578125
5,26,7.0037841796875
6,36,19.610595703125
7,54,42.4896240234375
8,60,72.83935546875
9,86,100.15411376953125
10,62,111.2823486328125
11,70,100.15411376953125
12,65,72.83935546875
13,50,42.4896240234375
14,34,19.610595703125
15,14,7.0037841796875
16,10,1.86767578125
17,8,0.350189208984375
18,1,0.04119873046875
19,3,0.002288818359375
